['location', 'city', 'country', 'utc', 'local', 'parameter', 'value', 'unit', 'latitude', 'longitude', 'attribution'],,
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-09T15:00:00.000Z', '2020-02-09T10:00:00-05:00', 'so2', '0.001', 'ppm', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Odiorne State Park', 'Boston-Cambridge-Quincy', 'US', '2020-02-09T15:00:00.000Z', '2020-02-09T10:00:00-05:00', 'o3', '0.036', 'ppm', '43.045269', '-70.713958'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-09T15:00:00.000Z', '2020-02-09T10:00:00-05:00', 'pm25', '8', 'µg/m³', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Boston - Roxbury', 'Boston-Cambridge-Quincy', 'US', '2020-02-09T15:00:00.000Z', '2020-02-09T10:00:00-05:00', 'no2', '0.016', 'ppm', '42.329399', '-71.082497'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Portsmouth', 'Boston-Cambridge-Quincy', 'US', '2020-02-09T15:00:00.000Z', '2020-02-09T10:00:00-05:00', 'pm25', '13', 'µg/m³', '43.075371', '-70.748017'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['E. Milton - Blue Hil', 'Boston-Cambridge-Quincy', 'US', '2020-02-09T15:00:00.000Z', '2020-02-09T10:00:00-05:00', 'no2', '0.01', 'ppm', '42.2117', '-71.114403'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['Portsmouth', 'Boston-Cambridge-Quincy', 'US', '2020-02-09T15:00:00.000Z', '2020-02-09T10:00:00-05:00', 'pm10', '66', 'µg/m³', '43.075371', '-70.748017'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""New Hampshire Dept. of Environmental Services""}]']"
['Haverhill', 'Boston-Cambridge-Quincy', 'US', '2020-02-09T15:00:00.000Z', '2020-02-09T10:00:00-05:00', 'o3', '0.021', 'ppm', '42.7708', '-71.1028'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['LYNN', 'Boston-Cambridge-Quincy', 'US', '2020-02-09T15:00:00.000Z', '2020-02-09T10:00:00-05:00', 'pm25', '8', 'µg/m³', '42.474701', '-70.971901'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
['BOSTON-KENMORE', 'Boston-Cambridge-Quincy', 'US', '2020-02-09T15:00:00.000Z', '2020-02-09T10:00:00-05:00', 'so2', '0.001', 'ppm', '42.3489', '-71.097702'," '[{""name"":""US EPA AirNow""","url:""http://www.airnow.gov/""}","{""name"":""Massachusetts Dept. of Environmental Protection""}]']"
